ID транзакции;Категория;Сумма покупки;Кешбэк
-152992737_5608012;Кафе, рестораны;5296,33;264,82
-152992737_5608138;Кафе, рестораны;6510,6;325,53
-152992737_5608240;Кафе, рестораны;14898,47;297,97
-152992737_5608346;Кафе, рестораны;5115,87;102,32
-152992737_5608370;Кафе, рестораны;3845,13;76,9
-152992737_5608440;Кафе, рестораны;16889,2;2026,7
-152992737_5608540;Кафе, рестораны;4516,07;90,32
-152992737_5608844;Кафе, рестораны;2352;47,04
-152992737_5608967;Кафе, рестораны;13746,2;274,92
-152992737_5608979;Кафе, рестораны;2932,87;58,66
-152992737_5608995;Кафе, рестораны;3200,13;64
-152992737_5609063;Кафе, рестораны;6272,73;313,64
-152992737_5609086;Кафе, рестораны;5772,13;692,66
-152992737_5609116;Кафе, рестораны;12092;1451,04
-152992737_5609258;Кафе, рестораны;3174,93;63,5
-152992737_5609323;Кафе, рестораны;9257,33;1110,88
-152992737_5609383;Кафе, рестораны;7176,87;143,54
-152992737_5609476;Кафе, рестораны;2267,4;45,35
-152992737_5609895;Кафе, рестораны;4952,67;99,05
-152992737_5609941;Кафе, рестораны;89181,33;10701,76
-152992737_5610313;Кафе, рестораны;6099,4;731,93
-152992737_5610561;Кафе, рестораны;30820,6;6164,12
-152992737_5610827;Кафе, рестораны;32242;3869,04
-152992737_5611109;Кафе, рестораны;14898,33;297,97
-152992737_5611398;Кафе, рестораны;11594;1391,28
-152992737_5611740;Кафе, рестораны;12603,2;252,06
-152992737_5611912;Кафе, рестораны;2281,73;45,63
-152992737_5612074;Кафе, рестораны;5728,73;114,57
-152992737_5612202;Кафе, рестораны;3741,33;74,83
-152992737_5612319;Кафе, рестораны;5579,73;111,59
-152992737_5612582;Кафе, рестораны;4663,33;93,27
-152992737_5612750;Кафе, рестораны;2451,8;294,22
-152992737_5612864;Кафе, рестораны;12785,73;639,29
-152992737_5613111;Кафе, рестораны;2363,47;47,27
-152992737_5613348;Кафе, рестораны;9360,53;187,21
-152992737_5614307;Кафе, рестораны;7025,8;843,1
-152992737_5614522;Кафе, рестораны;3539,33;70,79
-152992737_5614614;Кафе, рестораны;3614,13;72,28
-152992737_5614635;Кафе, рестораны;2070,67;103,53
-152992737_5614775;Кафе, рестораны;13049,87;1565,98
-152992737_5614833;Кафе, рестораны;4050,33;202,52
-152992737_5614936;Кафе, рестораны;2041,4;40,83
-152992737_5615036;Кафе, рестораны;7509,93;150,2
-152992737_5615151;Кафе, рестораны;134797,87;16175,74
-152992737_5615295;Кафе, рестораны;14205,93;710,3
-152992737_5615465;Кафе, рестораны;20555,13;411,1
-152992737_5615726;Кафе, рестораны;6000,07;120
